Space,Floor,Area,Headcount,Notes
Classrooms K-2 (x6),2,780 sf each,25,daylight priority - head of school
Classrooms 3-5 (x6),3,780 sf each,28,
Classrooms 6-8 (x6),4,750 sf each,28,
Science lab,4,1100 sf,28,vent hood
Art room,3,950 sf,28,sink wall
Music room,3,85 sm,20,acoustic sep from classrooms
Gymnatorium,1,6800 sf,450,gym + cafeteria + assembly
Kitchen,1,1200 sf,,head of school: "real food not a warming box"
Library / media,2,1600 sf,60,
Admin suite,1,1400 sf,10,near main entry
Nurse,1,320 sf,2,
Resource room (SPED),2,320 sf,8,
Server / IT,2,12 sm,,dedicated cooling
Resource room (SPED),2,320 sf,8,
Rooftop play yard,Roof,TBD,TBD,pending zoning - head of school's priority
