Space,Floor,Area,Headcount,Notes
Exam cluster A (x8),1,120 sf each,2,standard layout
Intake / registration,1,650 sf,6,
Waiting main,1,950 sf,35,client wants "nothing like a hospital"
Infusion suite (12 bays),1,2600 sf,18,new addition - pending zoning
Med prep / pharmacy,1,300 sf,3,USP 797? check
Exam cluster B (x8),2,120 sf each,2,
MRI suite,2,TBD,TBD,pending vibration study - owner's rep's priority
Imaging - CT + x-ray,2,1400 sf,4,
Soiled holding / decon,2,18 sm,,code req'd? check
Exam cluster A (x8),1,120 sf each,2,standard layout
Staff lounge,3,480 sf,12,
Admin offices,3,1100 sf,14,
Clean supply storage,3,20 sm,,
Conference / board rm,3,380 sf,,
