Space,Floor,Area,Headcount,Notes
Open workstations,12,6800 sf,96,hybrid ratio - confirm w/ HR
Open workstations,13,6200 sf,88,
Reception,13,600 sf,2,main arrival floor
Meeting room large,13,520 sf,16,board-ready AV
Meeting room medium,12,300 sf,10,
Meeting room small,12,150 sf,4,
Phone booths (x8),12,35 sf each,1,
Town hall / all-hands,13,1400 sf,120,wants it at the stair
Cafe,12,900 sf,,COO: "not an insurance cafeteria"
Wellness / mothers room,13,12 sm,1,code req'd? check
Meeting room small,12,150 sf,4,
IT / server,12,18 sm,,dedicated cooling
Interconnecting stair,12-13,TBD,,pending code analysis - COO's priority
Storage / mail,12,240 sf,,
